CIMCOG_43,Tr39477,Savannah,Kiziltan,Marombi,AMAL,Chinese.Spring.Ph1,Benyamin,Synthetic,EGA.Eagle.Rock,Boisseau,Merinda,K29,Preston,LongReach.Merlin,KRa,Golubica,Phare,Zulu,Buenno,Paragon2,Park,Ttd22,CD_105,Quality,X398_Israel,X7C12,Sardari,Synthetic.39,HC1361,MURAJ,X165_16.16,Mackellar,Gatsby,USG3209,Xi19,CIMCOG_7,Avalon,Watkins.1190713,Bezostaja,X401_Brazil,Tribute,EGA.Bounty,Yawa,IMAR,Robigus,Azar2,Mirleben,Sunelg,Mansfield,BAJ..1,Hereward,X173_23.3,Ephoros,X167_16.23,NONG.DA.NO141,Antonius,Tjilkuri,X166_16.14,Cortez,Goodstreak,BT.Schomburgk,X398_Brazil,Kukri,Saintly,LongReach.Catalina,Arina,Cellule,X12A5,Sogood,Meering,Kunduru,CDC.Stanley,PI.554099,GK.SZOKE,CIMCOG_32,CM.82036NIL51,Valodor,Massey,Pelsart,AZIZ,Mace_JP,Jandaroi,Soor.Ghanum,Trident,Bologna,X142_Brazil,Shamrock,Freeman
2,0,2,0,1,2,2,1,0,0,2,1,0,1,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,0,2,2,0,,2,0,2,2,2,0,0,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,0,2,0,0,0,2,0,2,2,0,2
2,2,2,2,2,2,,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2,,,2,1,0,0,0,1,0,2,0,0,0,2,0,2,0,2,2,0,1,0,0,,0,2,0,0,0,,0,2,2,0,0,2,0,0,,0,2,0,0,0,0,2,2,0,0,0,0,1,,1,2,1,,2,0,0,2,0,2,0,0,2,0,2,0,0,2,,0,,0,0,0,2,0,0,0,0,0,,2,2,1,2
2,2,2,1,1,2,2,2,1,1,2,2,,,2,2,2,,0,2,,,2,2,1,,2,2,0,2,2,0,2,2,2,2,1,0,2,2,,2,2,1,2,2,2,2,0,2,2,2,1,1,1,2,,0,0,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,2,,2,2,2,2
2,0,2,1,2,2,0,0,0,2,0,2,2,2,2,0,2,2,0,2,2,0,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,2,0,2,2,2,2,,0,2,0,2,2,0,2,2,0,2,0,,2,0,0,2,1,0,2,2,0,0,0,2,2,0,2,0,2,0,2,2,2,2,0,2,0,0,0,0,0,2,0,2,0
2,1,2,2,2,2,0,2,2,2,2,2,2,1,2,1,2,2,2,1,2,,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,1,2,2,2,0,2,2,2,0,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2
2,2,2,2,2,0,0,2,2,,2,0,2,2,2,2,2,2,2,2,2,2,2,,0,2,2,2,2,0,0,2,2,2,2,2,0,2,0,2,2,2,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,,2,2,2,2,2,2,2,0,2,2,2,2,2
2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
2,0,2,2,1,2,0,,0,2,,1,2,,,0,0,0,,,2,2,0,,1,0,2,0,2,1,,2,2,0,2,0,2,0,0,0,2,0,,2,,0,0,2,2,1,2,0,2,0,,2,0,2,2,2,1,2,2,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,0,2,2,2,0,2,2,0,0,2
0,2,2,0,0,,0,0,,0,2,0,0,,0,2,,2,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,0,2,,0,0,,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,2,,0,0,0,0,0,,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,,0,0,0,0,2,0,2,0,0,0,0,,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
2,2,2,2,2,2,0,,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,,2,2,2,2,2,2,2
2,2,0,2,1,0,2,0,2,2,0,2,2,0,1,0,0,0,2,0,0,2,2,2,2,0,0,2,2,1,2,2,2,0,0,0,2,0,0,0,2,0,1,2,0,0,0,0,0,0,1,0,2,0,2,2,0,2,2,2,0,2,0,2,2,,0,2,0,2,0,2,0,0,0,2,2,2,0,2,0,0,2,2,0,0,2,2,2
0,0,2,0,,0,0,0,0,0,1,0,2,2,1,0,2,2,0,,0,2,0,1,0,0,2,0,0,2,0,0,2,0,1,2,0,2,0,0,0,0,0,2,0,2,0,2,0,1,0,2,0,0,0,,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,2,2,0,0,2,0,0,0,0,0,0,2,0
0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
2,,2,2,0,2,0,2,2,0,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,0,0,2,2,2,2,2,2,1,2,2,2,0,2,2,2,2,2,2,2,2,0,1,2,0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2,2,2,2,2,2,0,2,0,1,0,2,0,2,2,0,2,0,1,2,2,2,,2,2,2,2,2,0,0,2,2,2,2,2,0,2,2,0,2,0,1,2,0,,2,0,0,2,0,,2,,2,0,2,2,2,2,2,2,2,,2,2,2,2,,2,0,2,,0,0,2,,2,2,1,,1,2,2,2,0,2,2,0
2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2,1,1,1,2,2,2,2,1,2,2,2,1,,2,2,2,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,2,1,2,2,1,1,2,1,2,1,2,,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,,2,2,2,2,2,2
2,,2,0,1,0,0,,2,0,2,0,0,0,,2,2,2,0,1,0,2,2,0,0,0,0,0,0,2,0,0,1,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2,1,2,0,2,,2,2,2,2,1,2,0,,1,,2,2,2,1,2,2,1,2,2,2,2,2,2,2,,,2,2,2,0,2,2,2,2,2,2,2,0,2,0,1,2,,,2,2,1,0,2,0,0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,,2,2,2,2,2,2,1,2,2,0,2,2,0,2,2,1
2,2,2,2,0,1,2,0,0,0,2,0,0,0,0,0,0,2,2,,0,0,2,1,0,1,2,2,0,,,2,0,0,0,2,2,0,2,1,0,0,1,2,0,2,2,0,0,0,0,2,2,2,2,2,0,2,2,0,0,0,0,0,2,0,0,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,2,0,2,2,2,0
0,0,0,0,0,,0,0,1,1,0,0,,0,0,1,0,0,0,0,0,,0,1,,0,0,0,0,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0
2,0,0,0,2,2,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,2,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,2,0,2,0,0
2,,0,2,2,2,0,2,2,2,2,1,2,2,1,2,0,0,2,2,0,2,2,2,2,2,0,2,2,2,2,2,,2,0,2,,2,0,0,2,0,2,2,2,0,2,0,2,2,2,2,2,0,2,,,2,2,0,0,0,2,0,2,2,0,0,0,0,2,2,2,2,0,2,2,2,0,2,0,1,2,2,0,2,2,2,0
2,2,2,2,2,2,2,2,2,,2,2,2,2,2,1,2,,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
,0,0,0,1,2,0,2,0,0,2,2,0,2,0,2,0,0,0,0,0,1,,1,0,2,0,,0,1,,0,0,0,0,2,2,0,,1,0,2,2,0,2,0,2,0,0,,2,0,0,2,0,2,2,0,0,2,1,0,2,2,0,2,2,,0,,2,0,,2,0,,2,0,0,2,,2,0,1,0,2,0,,2
0,2,2,2,1,0,0,1,2,2,,0,2,1,0,0,0,2,2,2,0,0,2,0,2,0,1,0,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,2,0,0,2,2,0,0,0,2,1,2,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,2,2,2,0,2,2,0,0,2
0,1,0,,0,0,0,0,0,0,0,0,1,,0,1,0,0,1,0,0,,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,,2,0,2,0,0,,0,,0,2,2,0,2,0,2,1,0,2,2,0,2,2,2,0,2,2,0,2,2,0,2,2,0,2,2,,0,,,2,,0,0,2,0,2,,0,2,2,0,0,0,0,,0,0,2,1,0,2,2,0,0,,2,2,0,2,0,2,0,2,2,2,2,0,1,0,0,0,0,0,2,0,2,
2,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,1,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,1,2,2,1,1,1,1,2,1,2,2,2,2,1,2,0,2,2,1,0,2,2,2,2,1,1,2,2,0,2,2,2,1,2,2,2,,2,1,2,0,2,2,1,2,1,2,1,2,2,2,0,2,2,0,0,2,2,2,2,2,0,2,2,1,2,1,2,2,1,1,1,2,1,2,2,2,2,2,0,1,2,2,2,2,2
2,2,2,0,2,2,0,2,2,2,2,2,2,1,2,2,2,2,0,2,2,2,2,1,2,2,2,0,0,2,2,1,1,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,1,2,2,0,1,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,0,0,2,2,2
0,2,0,1,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,2,,0,2,2,1,0,0,1,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,2,0,0,2,2,2,1,0,0,0,1,0,,0,2,0,0,0,0,2,1,2,2,2,2,0,2,0,1,,,0,0,0,2,0,0,2,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,1,2,0,0,2,2,0,0,0,0,0,2,2,0,,0,0,2,2,0,0,2,,0,0,2,0,0,2,0,2
2,1,2,1,2,,2,2,,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,,2,1,2,2,1,,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
0,,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,1,0,0,2,,0,,0,0,0,0,0,2,2,2,0,2,,2,0,2,0,1,0,2,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2
2,2,0,2,0,,0,1,2,,2,2,2,1,0,0,0,,1,2,2,0,,2,,0,0,0,2,2,0,2,0,0,2,2,2,1,2,,1,0,2,1,2,2,1,0,1,2,2,2,1,0,1,2,0,,,,2,0,0,2,,0,0,0,0,0,0,2,,0,0,2,0,0,0,2,2,2,2,2,,0,0,2,
2,,2,2,2,2,2,2,0,2,2,2,2,,0,2,2,2,2,2,2,2,,2,2,2,,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,,2,2,2,2,,,0,0,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,,0,2,2,2,0,2
2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2
2,2,0,2,1,2,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,2,0,2,2,0,0,0,2,2,2,0,0,0,2,1,0,2,0,2,2,0,2,1,0,0,0,0,0,2,0,2,0,2,0,0,2,2,0,0,0,2,0,2,2,0,0,,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0
0,2,2,2,0,0,0,0,2,0,0,0,,0,0,2,0,0,2,0,0,0,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,1,2,2,2,2,2,,1,2,2,1,2,2,2,2,2,2,2,2,2,,1,,2,0,2,2,2,0,1,2,2,2,1,2,1,2,2,2,2,,1,2,0,2,2,2,2,1,2,2,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,2,0,2,2,2,2,2,2,2,2
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
2,2,0,2,0,1,0,2,2,1,1,0,2,,,0,0,1,2,0,2,1,2,2,2,2,0,0,2,2,0,2,0,0,2,1,2,,0,2,2,2,2,2,1,2,0,2,0,0,0,0,2,2,1,0,0,2,2,2,2,2,2,0,2,,0,0,0,0,0,2,0,0,0,2,0,0,0,,1,2,2,0,,0,2,2,0
2,,0,,2,0,2,2,2,2,,0,2,1,,2,,0,,0,0,2,,2,2,2,0,2,2,,2,2,0,0,2,0,0,0,2,2,,,2,2,,0,,0,,0,1,0,,,,2,0,2,,,,2,2,,2,2,,0,0,2,2,2,2,,2,2,2,,2,2,0,2,,2,0,0,2,,2
2,,,0,,,2,0,2,,,,,0,0,1,0,0,0,0,0,,2,0,2,2,0,0,,2,,0,,0,0,,0,0,0,,2,0,2,,,0,,,0,1,0,0,,0,,,0,,,1,2,,1,,2,,,1,0,2,0,2,0,1,,0,,0,0,0,,,0,2,,0,0,,0
0,,2,2,2,2,2,2,2,1,2,0,2,2,1,0,2,1,2,2,2,,2,2,0,2,2,1,2,0,0,2,,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,0,2
2,2,0,2,1,2,2,1,2,1,1,2,2,2,1,2,0,0,2,0,0,,2,0,0,0,0,2,2,2,2,2,0,2,0,0,2,0,2,1,2,0,2,2,2,2,2,2,0,1,2,0,2,1,2,,0,2,2,2,2,2,0,2,2,1,2,2,0,2,2,2,2,2,0,,2,0,2,2,2,0,2,2,0,2,0,0,2
0,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,,0,0,,0,0,0
2,0,0,2,1,0,2,,2,2,1,1,2,2,0,0,2,2,2,0,2,2,2,0,0,0,0,2,2,,0,2,0,0,0,2,2,0,2,2,0,2,2,2,0,2,2,2,2,0,2,2,2,0,2,1,2,2,2,0,0,0,0,0,2,0,2,2,0,2,0,2,2,2,0,2,,2,0,2,2,1,2,0,0,0,0,0,0
2,1,2,1,2,2,2,1,2,2,2,2,1,2,2,2,1,2,,2,2,2,1,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,,,2,2,2,2,2,,2,2,1,2,1,2,2,1,1,2,2,2,2,1,2,2,2,1,2,2,2,,2,2,,2,2,2,2,2,2,2,1,2,2,2,2,2,2
0,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,,0,2,1,2,2,0,2,2,0,2,2,0,0,0,0,0,2,,0,0,2,,2,0,0,1,2,2,0,2,0,0,2,0,2,0,0,0,0,0,1,2,0,0,0,0,2,0,2,2,2,0,2,0,0,2,2,2,0,0,0,2,2,0,0,0,0,2,0,2,0,2,0,0,0,0,0,2,0,2,2,0,0,2,2,0,0
0,2,0,2,1,0,0,1,2,0,0,0,2,2,1,0,2,1,2,0,2,0,2,0,0,2,0,0,2,,0,2,0,2,2,2,0,,0,1,2,0,0,2,1,2,2,0,0,,0,2,2,0,0,0,0,2,2,0,0,2,0,0,2,2,2,2,0,0,0,2,0,2,2,2,0,0,0,,2,2,2,1,2,0,2,0,2
0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,0,2,0,1,0,2,2,0,,2,0,0,2,2,2,0,2,0,,0,2,0,1,0,2,2,2,2,1,1,0,,2,2,2,0,2,2,2,2,2,2,0,,2,2,2,,2,2,2,0,2,0,2,2,0,0,2,2,2,2,2,0,2,2,2,2,2,2,0,,2,2,2,2,2,2,2,1,2,0,0,2,2,2,2,2
